roll no,name,standard,gender,race/ethnicity,parental level of education,lunch,test preparation course,math,english,geography,history,science,total,percentag,attended,total lectures,attendance,test marks,total marks,percentage,score-cat,study-cat,cluster,
97,Ann,6,male,group B,some high school,standard,completed,65,66,45,31,62,286,57.2,42,50,84,65,100,65,0,1,2,
98,George,6,female,group E,some college,standard,completed,63,72,74,81,70,356,71.2,34,50,68,63,100,63,0,0,4,
99,Jennifer,6,female,group D,some college,free/reduced,none,58,67,79,56,62,305,61,47,50,94,68,100,68,0,1,2,
100,Jennifer,6,female,group D,bachelor's degree,standard,none,65,67,55,54,62,310,62,49,50,98,38,100,38,0,1,2,
101,Ann,6,male,group B,some college,standard,none,79,67,92,32,67,312,62.4,42,50,84,61,100,61,0,1,2,
102,George,6,male,group D,bachelor's degree,standard,completed,68,74,46,62,74,352,70.4,35,50,70,71,100,71,1,0,3,
103,George,6,female,group D,associate's degree,standard,none,85,91,59,71,89,425,85,30,50,60,52,100,52,0,0,4,
104,George,6,male,group B,high school,standard,completed,60,44,100,88,47,286,57.2,36,50,72,60,100,60,0,0,4,
105,Sam,6,male,group C,some college,standard,completed,98,86,80,77,90,441,88.2,47,50,94,62,100,62,0,1,2,
106,Sam,6,female,group C,some college,standard,none,58,67,71,89,72,358,71.6,38,50,76,44,100,44,0,1,2,
107,Sam,6,female,group D,master's degree,standard,none,87,100,32,61,100,448,89.6,35,50,70,47,100,47,0,0,4,
108,Jennifer,6,male,group E,associate's degree,standard,completed,66,63,40,75,64,332,66.4,41,50,82,31,100,31,0,1,2,
109,George,6,female,group B,associate's degree,free/reduced,none,52,76,76,91,70,359,71.8,46,50,92,76,100,76,1,1,1,
110,Ann,6,female,group B,some high school,standard,none,70,64,55,74,72,352,70.4,50,50,100,57,100,57,0,1,2,
111,Jennifer,6,female,group D,associate's degree,free/reduced,completed,77,89,79,31,98,393,78.6,30,50,60,54,100,54,0,0,4,
112,Sam,6,male,group C,high school,standard,none,62,55,66,70,49,285,57,44,50,88,37,100,37,0,1,2,
113,Matt,6,male,group A,associate's degree,standard,none,54,53,68,84,47,285,57,33,50,66,40,100,40,0,0,4,
114,Ann,6,female,group D,some college,standard,none,51,58,62,96,54,313,62.6,44,50,88,30,100,30,0,1,2,
115,Matt,6,female,group E,bachelor's degree,standard,completed,99,100,99,38,100,437,87.4,40,50,80,46,100,46,0,1,2,
116,Matt,6,male,group C,high school,standard,none,84,77,99,69,74,378,75.6,48,50,96,56,100,56,0,1,2,
117,Jennifer,6,female,group B,bachelor's degree,free/reduced,none,75,85,99,54,82,378,75.6,45,50,90,68,100,68,0,1,2,
118,Jennifer,6,female,group D,bachelor's degree,standard,none,78,82,51,37,79,355,71,50,50,100,94,100,94,1,1,1,
119,Jennifer,6,female,group D,some high school,standard,none,51,63,65,43,61,279,55.8,43,50,86,85,100,85,1,1,1,
120,Jennifer,6,female,group C,some college,standard,none,55,69,94,96,65,350,70,48,50,96,77,100,77,1,1,1,
121,George,6,female,group C,bachelor's degree,standard,completed,79,92,30,86,89,435,87,32,50,64,73,100,73,1,0,3,
122,Ann,6,male,group B,associate's degree,standard,completed,91,89,49,39,92,403,80.6,38,50,76,86,100,86,1,1,1,
123,Sam,6,female,group C,some college,standard,completed,88,93,40,34,93,401,80.2,47,50,94,79,100,79,1,1,1,
124,George,6,male,group D,high school,free/reduced,none,63,57,71,44,56,276,55.2,41,50,82,36,100,36,0,1,2,
125,George,6,male,group E,some college,standard,none,83,80,72,52,73,361,72.2,32,50,64,61,100,61,0,0,4,
126,Matt,6,female,group B,high school,standard,none,87,95,37,33,86,387,77.4,45,50,90,77,100,77,1,1,1,
127,Jennifer,6,male,group B,some high school,standard,none,72,68,87,38,67,312,62.4,33,50,66,57,100,57,0,0,4,
128,George,6,male,group D,some college,standard,completed,65,77,53,84,74,374,74.8,42,50,84,62,100,62,0,1,2,
129,Matt,6,male,group D,master's degree,standard,none,82,82,83,58,74,370,74,37,50,74,74,100,74,1,0,3,
130,Ann,6,female,group A,bachelor's degree,standard,none,51,49,33,31,51,233,46.6,31,50,62,51,100,51,0,0,4,
131,George,6,male,group D,master's degree,standard,none,89,84,71,82,82,419,83.8,41,50,82,33,100,33,0,1,2,
132,Jennifer,6,male,group C,some high school,free/reduced,completed,53,37,53,43,40,213,42.6,31,50,62,74,100,74,1,0,3,
133,Sam,6,male,group E,some college,free/reduced,completed,87,74,94,89,70,390,78,48,50,96,49,100,49,0,1,2,
134,Sam,6,female,group C,some college,standard,completed,75,81,46,48,84,372,74.4,45,50,90,63,100,63,0,1,2,
135,Matt,6,male,group D,bachelor's degree,free/reduced,completed,74,79,66,38,75,341,68.2,38,50,76,59,100,59,0,1,2,
136,Jennifer,6,male,group C,bachelor's degree,standard,none,58,55,75,53,48,262,52.4,50,50,100,54,100,54,0,1,2,
137,Sam,6,male,group B,some high school,standard,completed,51,54,36,55,41,242,48.4,46,50,92,90,100,90,1,1,1,
138,George,6,male,group E,high school,standard,none,70,55,69,80,56,317,63.4,33,50,66,65,100,65,0,0,4,
139,Sam,6,female,group C,associate's degree,standard,none,59,66,95,70,67,329,65.8,49,50,98,46,100,46,0,1,2,
140,Jennifer,6,male,group D,some college,standard,completed,71,61,74,49,69,319,63.8,45,50,90,51,100,51,0,1,2,
141,Sam,6,female,group D,some high school,standard,none,76,72,58,38,71,328,65.6,31,50,62,89,100,89,1,0,3,
142,George,6,female,group C,some college,free/reduced,none,59,62,79,82,64,331,66.2,49,50,98,95,100,95,1,1,1,
143,George,6,female,group E,some college,free/reduced,completed,42,55,35,74,54,279,55.8,48,50,96,82,100,82,1,1,1,
144,Matt,6,male,group A,high school,standard,none,57,43,81,67,47,261,52.2,40,50,80,92,100,92,1,1,1,
145,George,6,male,group D,some college,standard,none,88,73,50,73,78,390,78,38,50,76,87,100,87,1,1,1,
146,Sam,6,female,group C,some college,free/reduced,none,22,39,86,30,33,157,31.4,30,50,60,62,100,62,0,0,4,
147,Sam,6,male,group B,some high school,standard,none,88,84,67,69,75,391,78.2,44,50,88,55,100,55,0,1,2,
148,Matt,6,male,group C,associate's degree,free/reduced,none,73,68,91,62,66,335,67,34,50,68,85,100,85,1,0,3,
149,Ann,6,female,group D,bachelor's degree,standard,completed,68,75,48,61,81,366,73.2,30,50,60,91,100,91,1,0,3,
150,Ann,6,male,group E,associate's degree,free/reduced,completed,100,100,52,98,93,484,96.8,33,50,66,44,100,44,0,0,4,
151,George,6,male,group A,some high school,standard,completed,62,67,97,91,69,358,71.6,33,50,66,48,100,48,0,0,4,
152,George,6,male,group A,bachelor's degree,standard,none,77,67,73,98,68,378,75.6,49,50,98,31,100,31,0,1,2,
153,Sam,6,female,group B,associate's degree,standard,completed,59,70,53,50,66,311,62.2,45,50,90,76,100,76,1,1,1,
154,George,6,male,group D,bachelor's degree,standard,none,54,49,34,34,47,231,46.2,43,50,86,57,100,57,0,1,2,
155,Matt,6,male,group D,some high school,standard,none,62,67,61,99,61,350,70,35,50,70,46,100,46,0,0,4,
156,George,6,female,group C,some college,standard,completed,70,89,95,94,88,429,85.8,41,50,82,89,100,89,1,1,1,
157,Jennifer,6,female,group E,high school,free/reduced,completed,66,74,71,91,78,387,77.4,50,50,100,81,100,81,1,1,1,
158,Jennifer,6,male,group B,some college,free/reduced,none,60,60,47,98,60,338,67.6,34,50,68,77,100,77,1,0,3,
159,Jennifer,6,female,group B,associate's degree,standard,completed,61,86,67,64,87,385,77,30,50,60,51,100,51,0,0,4,
160,George,6,male,group D,associate's degree,free/reduced,none,66,62,59,77,64,333,66.6,35,50,70,30,100,30,0,0,4,
161,Matt,6,male,group B,associate's degree,free/reduced,completed,82,78,74,99,74,407,81.4,38,50,76,32,100,32,0,1,2,
162,Ann,6,female,group E,some college,free/reduced,completed,75,88,36,49,85,382,76.4,37,50,74,47,100,47,0,0,4,
163,George,6,male,group B,master's degree,free/reduced,none,49,53,57,30,52,236,47.2,49,50,98,41,100,41,0,1,2,
164,Jennifer,6,male,group C,high school,standard,none,52,53,50,59,49,262,52.4,37,50,74,65,100,65,0,0,4,
165,Sam,6,female,group E,master's degree,standard,none,81,92,34,53,91,408,81.6,48,50,96,82,100,82,1,1,1,
166,Ann,6,female,group C,bachelor's degree,standard,completed,96,100,74,97,100,493,98.6,39,50,78,54,100,54,0,1,2,
167,Jennifer,6,male,group C,high school,free/reduced,completed,53,51,85,50,51,256,51.2,42,50,84,58,100,58,0,1,2,
168,George,6,female,group B,master's degree,free/reduced,completed,58,76,91,74,78,364,72.8,48,50,96,35,100,35,0,1,2,
169,George,6,female,group B,high school,standard,completed,68,83,79,87,78,394,78.8,39,50,78,68,100,68,0,1,2,
170,George,6,female,group C,some college,free/reduced,completed,67,75,65,57,70,339,67.8,45,50,90,71,100,71,1,1,1,
171,Matt,6,male,group A,high school,standard,completed,72,73,59,95,74,388,77.6,40,50,80,33,100,33,0,1,2,
172,Sam,6,male,group E,some high school,standard,none,94,88,97,37,78,375,75,35,50,70,31,100,31,0,0,4,
173,Ann,6,female,group D,some college,standard,none,79,86,54,56,81,383,76.6,35,50,70,36,100,36,0,0,4,
174,Jennifer,6,female,group C,associate's degree,standard,none,63,67,48,83,70,353,70.6,41,50,82,89,100,89,1,1,1,
175,Matt,6,female,group C,bachelor's degree,free/reduced,completed,43,51,75,90,54,292,58.4,44,50,88,62,100,62,0,1,2,
176,Ann,6,female,group C,master's degree,standard,completed,81,91,53,32,87,378,75.6,31,50,62,83,100,83,1,0,3,
177,Ann,6,female,group B,high school,free/reduced,completed,46,54,46,87,58,303,60.6,36,50,72,61,100,61,0,0,4,
178,Ann,6,female,group C,associate's degree,standard,completed,71,77,35,60,77,362,72.4,38,50,76,53,100,53,0,1,2,
179,Matt,6,female,group B,master's degree,free/reduced,completed,52,70,53,60,62,306,61.2,37,50,74,92,100,92,1,0,3,
180,George,6,female,group D,some high school,standard,completed,97,100,35,85,100,482,96.4,44,50,88,67,100,67,0,1,2,
181,Ann,6,male,group C,master's degree,free/reduced,completed,62,68,81,69,75,349,69.8,44,50,88,41,100,41,0,1,2,
182,George,6,female,group C,some college,free/reduced,none,46,64,79,52,66,294,58.8,47,50,94,42,100,42,0,1,2,
183,Sam,6,female,group E,high school,standard,none,50,50,58,74,47,268,53.6,37,50,74,36,100,36,0,0,4,
184,Sam,6,female,group D,associate's degree,standard,none,65,69,81,95,70,369,73.8,40,50,80,58,100,58,0,1,2,
185,Sam,6,male,group C,some high school,free/reduced,completed,45,52,54,48,49,243,48.6,37,50,74,49,100,49,0,0,4,
186,Matt,6,male,group C,associate's degree,free/reduced,completed,65,67,70,40,65,302,60.4,45,50,90,92,100,92,1,1,1,
187,Jennifer,6,male,group E,high school,standard,none,80,76,68,82,65,368,73.6,34,50,68,53,100,53,0,0,4,
188,Jennifer,6,male,group D,some high school,standard,completed,62,66,100,36,68,300,60,36,50,72,87,100,87,1,0,3,
189,Ann,6,male,group B,some high school,free/reduced,none,48,52,34,83,45,273,54.6,31,50,62,55,100,55,0,0,4,
190,Jennifer,6,female,group C,bachelor's degree,standard,none,77,88,62,34,87,373,74.6,41,50,82,73,100,73,1,1,1,
191,George,6,female,group E,associate's degree,standard,none,66,65,36,72,69,341,68.2,37,50,74,65,100,65,0,0,4,
192,Jennifer,6,male,group D,some college,standard,completed,76,83,31,65,79,382,76.4,34,50,68,89,100,89,1,0,3,
193,Ann,6,female,group B,some high school,standard,none,62,64,67,65,66,323,64.6,45,50,90,35,100,35,0,1,2,
194,Ann,6,male,group D,some college,standard,completed,77,62,46,53,62,316,63.2,42,50,84,33,100,33,0,1,2,
195,Jennifer,6,female,group C,master's degree,standard,completed,69,84,38,85,85,408,81.6,35,50,70,78,100,78,1,0,3,
196,George,6,male,group D,associate's degree,standard,none,61,55,31,85,52,305,61,49,50,98,75,100,75,1,1,1,
197,Jennifer,6,male,group C,some high school,free/reduced,completed,59,69,35,80,65,338,67.6,31,50,62,44,100,44,0,0,4,
198,Sam,6,male,group E,high school,free/reduced,none,55,56,88,88,51,301,60.2,41,50,82,37,100,37,0,1,2,
199,Matt,6,female,group B,some college,free/reduced,none,45,53,57,60,55,268,53.6,33,50,66,40,100,40,0,0,4,
200,Sam,6,female,group B,bachelor's degree,free/reduced,none,78,79,52,83,76,392,78.4,48,50,96,64,100,64,0,1,2,
201,Sam,6,female,group C,associate's degree,standard,completed,67,84,75,76,86,399,79.8,31,50,62,54,100,54,0,0,4,
202,Ann,7,female,group D,some college,free/reduced,none,65,81,62,98,77,398,79.6,35,50,70,45,100,45,0,0,4,
203,Sam,7,male,group C,associate's degree,standard,none,69,77,66,100,69,384,76.8,35,50,70,31,100,31,0,0,4,
204,Sam,7,female,group B,associate's degree,standard,none,57,69,89,81,68,343,68.6,41,50,82,40,100,40,0,1,2,
205,Ann,7,male,group C,some college,standard,none,59,41,88,79,42,263,52.6,48,50,96,58,100,58,0,1,2,
206,George,7,male,group D,some high school,standard,completed,74,71,94,30,78,331,66.2,35,50,70,73,100,73,1,0,3,
207,Ann,7,male,group E,bachelor's degree,standard,none,82,62,45,91,62,359,71.8,43,50,86,70,100,70,0,1,2,
208,Sam,7,male,group E,high school,standard,completed,81,80,95,30,76,343,68.6,47,50,94,52,100,52,0,1,2,
209,Ann,7,female,group B,some college,free/reduced,none,74,81,46,32,76,339,67.8,40,50,80,78,100,78,1,1,1,
210,Jennifer,7,female,group B,some college,free/reduced,none,58,61,32,77,66,328,65.6,42,50,84,90,100,90,1,1,1,
211,Matt,7,male,group D,some high school,free/reduced,completed,80,79,74,76,79,393,78.6,43,50,86,38,100,38,0,1,2,
212,Matt,7,male,group C,some college,free/reduced,none,35,28,60,67,27,184,36.8,37,50,74,66,100,66,0,0,4,
213,Ann,7,female,group C,high school,free/reduced,none,42,62,97,97,60,321,64.2,39,50,78,66,100,66,0,1,2,
214,George,7,male,group C,associate's degree,free/reduced,completed,60,51,91,31,56,254,50.8,49,50,98,31,100,31,0,1,2,
215,Ann,7,male,group E,high school,standard,completed,87,91,88,83,81,423,84.6,35,50,70,38,100,38,0,0,4,
216,Ann,7,male,group B,some high school,standard,completed,84,83,36,45,75,362,72.4,43,50,86,59,100,59,0,1,2,
217,Jennifer,7,female,group E,associate's degree,free/reduced,completed,83,86,58,79,88,424,84.8,35,50,70,88,100,88,1,0,3,
218,Jennifer,7,female,group C,high school,free/reduced,none,34,42,97,43,39,197,39.4,40,50,80,82,100,82,1,1,1,
219,Matt,7,male,group B,high school,free/reduced,none,66,77,97,65,70,348,69.6,46,50,92,46,100,46,0,1,2,
220,Jennifer,7,male,group B,some high school,standard,completed,61,56,98,75,56,304,60.8,49,50,98,55,100,55,0,1,2,
221,George,7,female,group D,high school,standard,completed,56,68,66,95,74,367,73.4,38,50,76,56,100,56,0,1,2,
222,Sam,7,male,group B,associate's degree,standard,none,87,85,54,79,73,397,79.4,35,50,70,37,100,37,0,0,4,
223,Jennifer,7,female,group C,some high school,free/reduced,none,55,65,37,55,62,299,59.8,38,50,76,36,100,36,0,1,2,
224,Matt,7,male,group D,some high school,standard,none,86,80,74,61,75,377,75.4,39,50,78,92,100,92,1,1,1,
225,Sam,7,female,group B,associate's degree,standard,completed,52,66,61,37,73,301,60.2,48,50,96,93,100,93,1,1,1,
226,Sam,7,female,group E,master's degree,free/reduced,none,45,56,62,57,54,266,53.2,32,50,64,93,100,93,1,0,3,
227,Jennifer,7,female,group C,some college,standard,none,72,72,51,72,71,358,71.6,37,50,74,48,100,48,0,0,4,
228,Ann,7,male,group D,high school,standard,none,57,50,69,80,54,295,59,41,50,82,54,100,54,0,1,2,
229,Sam,7,male,group A,some high school,free/reduced,none,68,72,84,33,64,301,60.2,48,50,96,37,100,37,0,1,2,
230,George,7,female,group C,some college,standard,completed,88,95,51,46,94,417,83.4,49,50,98,40,100,40,0,1,2,
231,Sam,7,male,group D,some college,standard,none,76,64,61,60,66,332,66.4,41,50,82,49,100,49,0,1,2,
232,George,7,male,group C,associate's degree,standard,none,46,43,35,33,42,206,41.2,35,50,70,49,100,49,0,0,4,
233,Jennifer,7,female,group B,bachelor's degree,standard,none,67,86,98,69,83,388,77.6,33,50,66,90,100,90,1,0,3,
234,Sam,7,male,group E,some high school,standard,none,92,87,81,79,78,414,82.8,35,50,70,61,100,61,0,0,4,
235,Sam,7,male,group C,bachelor's degree,standard,completed,83,82,40,90,84,423,84.6,38,50,76,86,100,86,1,1,1,
